:END_ID(Transaction),:START_ID(Owner),:TYPE
20000,El-Khoury Hassane,MADE_TRANSACTION
20001,NOSBUSCH KEITH D,MADE_TRANSACTION
20002,Priest Jeffrey W,MADE_TRANSACTION
20003,Van Heel John W,MADE_TRANSACTION
20004,Van Heel John W,MADE_TRANSACTION
20005,Van Heel John W,MADE_TRANSACTION
20006,Van Heel John W,MADE_TRANSACTION
20007,Van Heel John W,MADE_TRANSACTION
20008,McAvoy John,MADE_TRANSACTION
20009,Wagner Heidi L,MADE_TRANSACTION
20010,FINOCCHIO ROBERT J,MADE_TRANSACTION
20011,FINOCCHIO ROBERT J,MADE_TRANSACTION
20012,Nadji Hessam,MADE_TRANSACTION
20013,Nadji Hessam,MADE_TRANSACTION
20014,FERNANDEZ LUIS M,MADE_TRANSACTION
20015,CHAMBERS NORMAN C,MADE_TRANSACTION
20016,CHAMBERS NORMAN C,MADE_TRANSACTION
20017,CHAMBERS NORMAN C,MADE_TRANSACTION
20018,CHAMBERS NORMAN C,MADE_TRANSACTION
20019,Hickox Winston H,MADE_TRANSACTION
20020,SCHREINER GATES CATHLEEN,MADE_TRANSACTION
20021,BUZBY TIMOTHY L,MADE_TRANSACTION
20022,Ramsey Gregory,MADE_TRANSACTION
20023,Ramsey Gregory,MADE_TRANSACTION
20024,Ramsey Gregory,MADE_TRANSACTION
20025,Chicles Aris C,MADE_TRANSACTION
20026,Chicles Aris C,MADE_TRANSACTION
20027,BRUGGER THOMAS R,MADE_TRANSACTION
20028,Khosla Victor,MADE_TRANSACTION
20029,SVP Special Situations III-A LLC,MADE_TRANSACTION
20030,HARVEY WILLIAM W,MADE_TRANSACTION
20031,HARVEY WILLIAM W,MADE_TRANSACTION
20032,HARVEY WILLIAM W,MADE_TRANSACTION
20033,Grant James Preston III,MADE_TRANSACTION
20034,BEDNER ALAN J,MADE_TRANSACTION
20035,Fitzgerald John Taylor Maloney,MADE_TRANSACTION
20036,Okumus Fund Management Ltd.,MADE_TRANSACTION
20037,CARPENTER HAROLD R,MADE_TRANSACTION
20038,WHITING MACAULEY JR,MADE_TRANSACTION
20039,SHADDOCK ROBERT N,MADE_TRANSACTION
20040,SHADDOCK ROBERT N,MADE_TRANSACTION
20041,Christopher Gregory L.,MADE_TRANSACTION
20042,Christopher Gregory L.,MADE_TRANSACTION
20043,RESCH ERIC,MADE_TRANSACTION
20044,Ott Robert J,MADE_TRANSACTION
20045,MERKT STEVEN T,MADE_TRANSACTION
20046,Meyers Michael R,MADE_TRANSACTION
20047,Meyers Michael R,MADE_TRANSACTION
20048,Donahue Joseph B,MADE_TRANSACTION
20049,CURTIN TERRENCE R,MADE_TRANSACTION
20050,CALASTRI MARIO,MADE_TRANSACTION
20051,Reing John,MADE_TRANSACTION
20052,QUEENER HUGH M,MADE_TRANSACTION
20053,Adams David Charles,MADE_TRANSACTION
20054,SORZANO JOSE S,MADE_TRANSACTION
20055,Ferdenzi Paul J,MADE_TRANSACTION
20056,BEST RHYS J,MADE_TRANSACTION
20057,ASLETT MARK,MADE_TRANSACTION
20058,ASLETT MARK,MADE_TRANSACTION
20059,Quinly Tom P,MADE_TRANSACTION
20060,TYNAN GLENN E,MADE_TRANSACTION
20061,Brown Edward M,MADE_TRANSACTION
20062,Jakubowitz Harry,MADE_TRANSACTION
20063,Makowski Karen R,MADE_TRANSACTION
20064,Roberts Eric W,MADE_TRANSACTION
20065,Biller Scott,MADE_TRANSACTION
20066,Biller Scott,MADE_TRANSACTION
20067,Bott Julian Mark,MADE_TRANSACTION
20068,Drucker Margo,MADE_TRANSACTION
20069,SANDVOLD TORE I,MADE_TRANSACTION
20070,YOST R DAVID,MADE_TRANSACTION
20071,Oberton Karleen Marie,MADE_TRANSACTION
20072,DeWitt Adam,MADE_TRANSACTION
20073,CRUTCHER BRIAN T,MADE_TRANSACTION
20074,Waters Stephen M,MADE_TRANSACTION
20075,KAVANAUGH JAMES J,MADE_TRANSACTION
20076,SCHAPIRO MORTON O,MADE_TRANSACTION
20077,Ayres W Dillaway JR,MADE_TRANSACTION
20078,KUENSTNER DEBORAH F,MADE_TRANSACTION
20079,Morton John III,MADE_TRANSACTION
20080,Seith Douglas J,MADE_TRANSACTION
20081,GUYAUX JOSEPH C,MADE_TRANSACTION
20082,King Darren J,MADE_TRANSACTION
20083,King Darren J,MADE_TRANSACTION
20084,van Kralingen Bridget A,MADE_TRANSACTION
20085,Stevenson Kimberly S,MADE_TRANSACTION
20086,FRIEDMAN LOUIS S,MADE_TRANSACTION
20087,ATWELL ROBERT BRUCE,MADE_TRANSACTION
20088,ATWELL ROBERT BRUCE,MADE_TRANSACTION
20089,ATWELL ROBERT BRUCE,MADE_TRANSACTION
20090,Walsh Charles H.,MADE_TRANSACTION
20091,LEVINE TILLY,MADE_TRANSACTION
20092,McClellan Stephen R,MADE_TRANSACTION
20093,CROYLE ROBERT G,MADE_TRANSACTION
20094,MONTAGUE JAMES R,MADE_TRANSACTION
20095,PEARL BARRY R,MADE_TRANSACTION
20096,Gobillot Lori,MADE_TRANSACTION
20097,GERO JAMES,MADE_TRANSACTION
20098,MERLOTTI FRANK H JR,MADE_TRANSACTION
20099,MERLOTTI FRANK H JR,MADE_TRANSACTION
20100,MERLOTTI FRANK H JR,MADE_TRANSACTION
20101,MERLOTTI FRANK H JR,MADE_TRANSACTION
20102,MERLOTTI FRANK H JR,MADE_TRANSACTION
20103,MERLOTTI FRANK H JR,MADE_TRANSACTION
20104,OBrien Christopher Flint,MADE_TRANSACTION
20105,DURHAM MICHAEL J,MADE_TRANSACTION
20106,Baron Collin P,MADE_TRANSACTION
20107,Baron Collin P,MADE_TRANSACTION
20108,"Delek US Holdings, Inc.",MADE_TRANSACTION
20109,Howe Richard K,MADE_TRANSACTION
20110,Howe Richard K,MADE_TRANSACTION
20111,HARDWICK MARK K,MADE_TRANSACTION
20112,HARDWICK MARK K,MADE_TRANSACTION
20113,"Madrone GHC, LLC",MADE_TRANSACTION
20114,Kennedy Thomas C,MADE_TRANSACTION
20115,Goldberg Josh,MADE_TRANSACTION
20116,Goldberg Josh,MADE_TRANSACTION
20117,G2 Investment Partners Management LLC,MADE_TRANSACTION
20118,G2 Investment Partners Management LLC,MADE_TRANSACTION
20119,G2 Investment Partners Management LLC,MADE_TRANSACTION
20120,G2 Investment Partners Management LLC,MADE_TRANSACTION
20121,G2 Investment Partners Management LLC,MADE_TRANSACTION
20122,G2 Investment Partners Management LLC,MADE_TRANSACTION
20123,G2 Investment Partners Management LLC,MADE_TRANSACTION
20124,G2 Investment Partners Management LLC,MADE_TRANSACTION
20125,G2 Investment Partners Management LLC,MADE_TRANSACTION
20126,G2 Investment Partners Management LLC,MADE_TRANSACTION
20127,G2 Investment Partners Management LLC,MADE_TRANSACTION
20128,G2 Investment Partners Management LLC,MADE_TRANSACTION
20129,G2 Investment Partners GP LLC,MADE_TRANSACTION
20130,HARTZ GREGORY J,MADE_TRANSACTION
20131,HARTZ GREGORY J,MADE_TRANSACTION
20132,HARTZ GREGORY J,MADE_TRANSACTION
20133,Brannock Kirk R,MADE_TRANSACTION
20134,RUPP JOSEPH D,MADE_TRANSACTION
20135,CRITELLI LEWIS J,MADE_TRANSACTION
20136,REBER JOHN M,MADE_TRANSACTION
20137,Cooke Dennis C,MADE_TRANSACTION
20138,Canterbury Park Holding Corp,MADE_TRANSACTION
20139,JOHNELLE HUNT LLC,MADE_TRANSACTION
20140,Moore Donnie,MADE_TRANSACTION
20141,Freeman Thomas E,MADE_TRANSACTION
20142,Freeman Thomas E,MADE_TRANSACTION
20143,Freeman Thomas E,MADE_TRANSACTION
20144,Freeman Thomas E,MADE_TRANSACTION
20145,COURTER JAMES A,MADE_TRANSACTION
20146,LACHMAN M LEANNE,MADE_TRANSACTION
20147,Woods Duane C.,MADE_TRANSACTION
20148,WOODS JACQUELINE F,MADE_TRANSACTION
20149,Yee James,MADE_TRANSACTION
20150,Yee James,MADE_TRANSACTION
20151,PAYNE JAMES SPENCER JR.,MADE_TRANSACTION
20152,Lau Timothy J,MADE_TRANSACTION
20153,Lau Timothy J,MADE_TRANSACTION
20154,Lau Timothy J,MADE_TRANSACTION
20155,Hickey Scott,MADE_TRANSACTION
20156,Hickey Scott,MADE_TRANSACTION
20157,Hickey Scott,MADE_TRANSACTION
20158,Hickey Scott,MADE_TRANSACTION
20159,Hickey Scott,MADE_TRANSACTION
20160,Hickey Scott,MADE_TRANSACTION
20161,Hickey Scott,MADE_TRANSACTION
20162,Hickey Scott,MADE_TRANSACTION
20163,Hickey Scott,MADE_TRANSACTION
20164,Hickey Scott,MADE_TRANSACTION
20165,Hickey Scott,MADE_TRANSACTION
20166,Hickey Scott,MADE_TRANSACTION
20167,Hickey Scott,MADE_TRANSACTION
20168,Hickey Scott,MADE_TRANSACTION
20169,Vinecombe Nigel A,MADE_TRANSACTION
20170,Docter Judith M,MADE_TRANSACTION
20171,Docter Judith M,MADE_TRANSACTION
20172,Docter Judith M,MADE_TRANSACTION
20173,ELIASSEN JON E,MADE_TRANSACTION
20174,Billingsley Chester,MADE_TRANSACTION
20175,Kallsen Terri R,MADE_TRANSACTION
20176,Kallsen Terri R,MADE_TRANSACTION
20177,Kallsen Terri R,MADE_TRANSACTION
20178,CHASE PETER R,MADE_TRANSACTION
20179,CHASE PETER R,MADE_TRANSACTION
20180,CHASE PETER R,MADE_TRANSACTION
20181,CHASE PETER R,MADE_TRANSACTION
20182,CHASE PETER R,MADE_TRANSACTION
20183,MARTIN CECIL E JR,MADE_TRANSACTION
20184,Clark Donald Jeff,MADE_TRANSACTION
20185,Segura Omar,MADE_TRANSACTION
20186,Segura Omar,MADE_TRANSACTION
20187,DOERR L JOHN,MADE_TRANSACTION
20188,DOERR L JOHN,MADE_TRANSACTION
20189,DOERR L JOHN,MADE_TRANSACTION
20190,DOERR L JOHN,MADE_TRANSACTION
20191,DOERR L JOHN,MADE_TRANSACTION
20192,DOERR L JOHN,MADE_TRANSACTION
20193,MCGONIGLE DENNIS,MADE_TRANSACTION
20194,VerNooy David S,MADE_TRANSACTION
20195,Shanbhag Manish,MADE_TRANSACTION
20196,Bottomley Kevin T.,MADE_TRANSACTION
20197,Carter George P,MADE_TRANSACTION
20198,HATFIELD DAVID P,MADE_TRANSACTION
20199,BENDER ANTHONY J,MADE_TRANSACTION
20200,Dunlaevy James Williar,MADE_TRANSACTION
20201,Dunlaevy James Williar,MADE_TRANSACTION
20202,Olson Gary S,MADE_TRANSACTION
20203,Dreyer Michael L,MADE_TRANSACTION
20204,Ledford Andrea,MADE_TRANSACTION
20205,Musslewhite Robert W,MADE_TRANSACTION
20206,PRUITT MICHAEL,MADE_TRANSACTION
20207,Barnes Michael Gene,MADE_TRANSACTION
20208,Barnes Michael Gene,MADE_TRANSACTION
20209,Barnes Michael Gene,MADE_TRANSACTION
20210,Barnes Michael Gene,MADE_TRANSACTION
20211,VERZURA TONY,MADE_TRANSACTION
20212,VERZURA TONY,MADE_TRANSACTION
20213,Layman John R,MADE_TRANSACTION
20214,PAINTER ROBERT G,MADE_TRANSACTION
20215,BRENNEMAN GREGORY D,MADE_TRANSACTION
20216,McDowell Glenn,MADE_TRANSACTION
20217,Dunn Steve P.,MADE_TRANSACTION
20218,NAPOLITANO JASON A,MADE_TRANSACTION
20219,NAPOLITANO JASON A,MADE_TRANSACTION
20220,McGinley Michael J,MADE_TRANSACTION
20221,TESKE TODD J,MADE_TRANSACTION
20222,TESKE TODD J,MADE_TRANSACTION
20223,CARLSON CAPITAL L P,MADE_TRANSACTION
20224,CARLSON CAPITAL L P,MADE_TRANSACTION
20225,Johnson Keith,MADE_TRANSACTION
20226,Ferrero James,MADE_TRANSACTION
20227,Larsen Kenneth A,MADE_TRANSACTION
20228,Wallace Bruce,MADE_TRANSACTION
20229,Wallace Bruce,MADE_TRANSACTION
20230,CONISH MARK G,MADE_TRANSACTION
20231,GARCIA-MOLINA HECTOR,MADE_TRANSACTION
20232,GARCIA-MOLINA HECTOR,MADE_TRANSACTION
20233,Weinstein Boaz,MADE_TRANSACTION
20234,HOUGEN ELIZABETH L,MADE_TRANSACTION
20235,Weinstein Boaz,MADE_TRANSACTION
20236,BALL LAWRENCE J,MADE_TRANSACTION
20237,Davanzo Christopher,MADE_TRANSACTION
20238,Mulleady John,MADE_TRANSACTION
20239,MICHAEL JONATHAN E,MADE_TRANSACTION
20240,SINGER MARTIN H,MADE_TRANSACTION
20241,DAVIS PERRY E,MADE_TRANSACTION
20242,PERRY BARRY W,MADE_TRANSACTION
20243,JONES D MICHAEL,MADE_TRANSACTION
20244,Sisko Brian J,MADE_TRANSACTION
20245,ZARRILLI STEPHEN T,MADE_TRANSACTION
20246,DEUTSCH EDWARD B,MADE_TRANSACTION
20247,Kelley Scot A.,MADE_TRANSACTION
20248,Kerin Andrew Charles,MADE_TRANSACTION
20249,NICHOLAS JAMES B,MADE_TRANSACTION
20250,MERLOTTI FRANK H JR,MADE_TRANSACTION
20251,MERLOTTI FRANK H JR,MADE_TRANSACTION
20252,MERLOTTI FRANK H JR,MADE_TRANSACTION
20253,MERLOTTI FRANK H JR,MADE_TRANSACTION
20254,MILLER LLOYD I III,MADE_TRANSACTION
20255,"Delek Logistics GP, LLC",MADE_TRANSACTION
20256,Baron Collin P,MADE_TRANSACTION
20257,Baron Collin P,MADE_TRANSACTION
20258,"Delek Marketing & Supply, LLC",MADE_TRANSACTION
20259,Howe Richard K,MADE_TRANSACTION
20260,Howe Richard K,MADE_TRANSACTION
20261,HARDWICK MARK K,MADE_TRANSACTION
20262,MILLER LLOYD I III,MADE_TRANSACTION
20263,LARSON KENNETH R,MADE_TRANSACTION
20264,Penner Gregory Boyd,MADE_TRANSACTION
20265,G2 Investment Partners Management LLC,MADE_TRANSACTION
20266,G2 Investment Partners Management LLC,MADE_TRANSACTION
20267,Goldberg Josh,MADE_TRANSACTION
20268,Goldberg Josh,MADE_TRANSACTION
20269,Goldberg Josh,MADE_TRANSACTION
20270,Goldberg Josh,MADE_TRANSACTION
20271,Goldberg Josh,MADE_TRANSACTION
20272,G2 Investment Partners GP LLC,MADE_TRANSACTION
20273,G2 Investment Partners GP LLC,MADE_TRANSACTION
20274,G2 Investment Partners GP LLC,MADE_TRANSACTION
20275,G2 Investment Partners GP LLC,MADE_TRANSACTION
20276,G2 Investment Partners Management LLC,MADE_TRANSACTION
20277,G2 Investment Partners Management LLC,MADE_TRANSACTION
20278,G2 Investment Partners Management LLC,MADE_TRANSACTION
20279,G2 Investment Partners GP LLC,MADE_TRANSACTION
20280,HARTZ GREGORY J,MADE_TRANSACTION
20281,HARTZ GREGORY J,MADE_TRANSACTION
20282,HARTZ GREGORY J,MADE_TRANSACTION
20283,Brannock Kirk R,MADE_TRANSACTION
20284,RUPP JOSEPH D,MADE_TRANSACTION
20285,CRITELLI LEWIS J,MADE_TRANSACTION
20286,Bloomstein Daniel S,MADE_TRANSACTION
20287,Onderdonk Keith P,MADE_TRANSACTION
20288,Canterbury Park Holding Corp,MADE_TRANSACTION
20289,YORK JILL E,MADE_TRANSACTION
20290,Moore Donnie,MADE_TRANSACTION
20291,Freeman Thomas E,MADE_TRANSACTION
20292,Freeman Thomas E,MADE_TRANSACTION
20293,Freeman Thomas E,MADE_TRANSACTION
20294,Freeman Thomas E,MADE_TRANSACTION
